Date,State,Sector,Attack_Type,Impact,Month,Year
2023-03-07,West Bengal,Health,Ransomware,25,3,2023
2023-03-08,Maharashtra,Health,DDoS,34,3,2023
2023-03-09,Tamil Nadu,Electricity,Ransomware,64,3,2023
2023-03-10,Gujarat,Finance,Phishing,88,3,2023
2023-03-11,Maharashtra,Oil,Phishing,74,3,2023
2023-03-12,Maharashtra,Health,Ransomware,38,3,2023
2023-03-13,West Bengal,Oil,Phishing,43,3,2023
2023-03-14,Uttar Pradesh,Electricity,Malware,65,3,2023
2023-03-15,Maharashtra,Oil,Phishing,53,3,2023
2023-03-16,Maharashtra,Finance,DDoS,77,3,2023
2023-03-17,Uttar Pradesh,Health,Data Breach,63,3,2023
2023-03-18,West Bengal,Electricity,DDoS,70,3,2023
2023-03-19,Uttar Pradesh,Oil,Malware,67,3,2023
2023-03-20,Tamil Nadu,Finance,Malware,87,3,2023
2023-03-21,Tamil Nadu,Oil,DDoS,6,3,2023
2023-03-22,Tamil Nadu,Electricity,Data Breach,99,3,2023
2023-03-23,Tamil Nadu,Health,Ransomware,69,3,2023
2023-03-24,Maharashtra,Electricity,Ransomware,30,3,2023
2023-03-25,West Bengal,Aerospace,Phishing,22,3,2023
2023-03-26,West Bengal,Aerospace,DDoS,62,3,2023
2023-03-27,West Bengal,Health,Malware,86,3,2023
2023-03-28,West Bengal,Oil,DDoS,94,3,2023
2023-03-29,Uttar Pradesh,Finance,Data Breach,49,3,2023
2023-03-30,Gujarat,Oil,Data Breach,48,3,2023
2023-03-31,Gujarat,Aerospace,Ransomware,14,3,2023
2023-04-01,Uttar Pradesh,Electricity,Malware,67,4,2023
2023-04-02,Maharashtra,Electricity,Ransomware,56,4,2023
2023-04-03,Maharashtra,Finance,Malware,53,4,2023
2023-04-04,Tamil Nadu,Finance,DDoS,92,4,2023
2023-04-05,Uttar Pradesh,Finance,Malware,43,4,2023
2023-04-06,Tamil Nadu,Electricity,Data Breach,77,4,2023
2023-04-07,Gujarat,Oil,Data Breach,40,4,2023
2023-04-08,Uttar Pradesh,Finance,DDoS,45,4,2023
2023-04-09,West Bengal,Finance,Ransomware,86,4,2023
2023-04-10,West Bengal,Aerospace,Ransomware,56,4,2023
2023-04-11,Maharashtra,Health,Malware,7,4,2023
2023-04-12,West Bengal,Health,Data Breach,64,4,2023
2023-04-13,Gujarat,Electricity,Malware,13,4,2023
2023-04-14,Maharashtra,Health,Malware,40,4,2023
2023-04-15,Maharashtra,Health,Ransomware,16,4,2023
2023-04-16,Maharashtra,Oil,Malware,27,4,2023
2023-04-17,West Bengal,Health,DDoS,90,4,2023
2023-04-18,Gujarat,Oil,DDoS,13,4,2023
2023-04-19,West Bengal,Aerospace,Ransomware,98,4,2023
2023-04-20,Gujarat,Electricity,Ransomware,32,4,2023
2023-04-21,West Bengal,Aerospace,Ransomware,79,4,2023
2023-04-22,Tamil Nadu,Health,Malware,37,4,2023
2023-04-23,Gujarat,Finance,Ransomware,85,4,2023
2023-04-24,Maharashtra,Aerospace,Data Breach,11,4,2023
2023-04-25,Maharashtra,Health,Malware,36,4,2023
2023-04-26,Tamil Nadu,Electricity,DDoS,22,4,2023
2023-04-27,Tamil Nadu,Aerospace,Phishing,51,4,2023
2023-04-28,Gujarat,Finance,Malware,74,4,2023
2023-04-29,Tamil Nadu,Oil,Malware,43,4,2023
2023-04-30,Tamil Nadu,Finance,DDoS,76,4,2023
2023-05-01,West Bengal,Electricity,Phishing,80,5,2023
2023-05-02,Uttar Pradesh,Electricity,Malware,29,5,2023
2023-05-03,Tamil Nadu,Electricity,DDoS,95,5,2023
2023-05-04,Tamil Nadu,Oil,Data Breach,9,5,2023
2023-05-05,West Bengal,Electricity,DDoS,28,5,2023
2023-05-06,Maharashtra,Oil,Ransomware,17,5,2023
2023-05-07,Gujarat,Oil,DDoS,24,5,2023
2023-05-08,Maharashtra,Aerospace,DDoS,91,5,2023
2023-05-09,Maharashtra,Health,Ransomware,17,5,2023
2023-05-10,Gujarat,Finance,Ransomware,70,5,2023
2023-05-11,Tamil Nadu,Oil,Malware,38,5,2023
2023-05-12,Tamil Nadu,Electricity,Phishing,40,5,2023
2023-05-13,West Bengal,Finance,Malware,85,5,2023
2023-05-14,West Bengal,Health,DDoS,7,5,2023
2023-05-15,Maharashtra,Health,Ransomware,46,5,2023
2023-05-16,Maharashtra,Finance,Ransomware,90,5,2023
2023-05-17,West Bengal,Aerospace,Data Breach,10,5,2023
2023-05-18,Uttar Pradesh,Health,Data Breach,75,5,2023
2023-05-19,Maharashtra,Oil,Phishing,87,5,2023
2023-05-20,Uttar Pradesh,Electricity,DDoS,6,5,2023
2023-05-21,Uttar Pradesh,Electricity,Malware,50,5,2023
2023-05-22,Maharashtra,Aerospace,Phishing,78,5,2023
2023-05-23,Maharashtra,Health,Phishing,38,5,2023
2023-05-24,Uttar Pradesh,Finance,Phishing,21,5,2023
2023-05-25,Maharashtra,Oil,Data Breach,30,5,2023
2023-05-26,Uttar Pradesh,Oil,Phishing,25,5,2023
2023-05-27,West Bengal,Finance,Ransomware,81,5,2023
2023-05-28,Uttar Pradesh,Finance,Phishing,9,5,2023
2023-05-29,Tamil Nadu,Oil,Phishing,34,5,2023
2023-05-30,Uttar Pradesh,Oil,DDoS,66,5,2023
2023-05-31,Tamil Nadu,Oil,Malware,89,5,2023
2023-06-01,Maharashtra,Health,Malware,92,6,2023
2023-06-02,Uttar Pradesh,Electricity,Phishing,97,6,2023
2023-06-03,Tamil Nadu,Aerospace,DDoS,75,6,2023
2023-06-04,West Bengal,Health,Malware,80,6,2023
2023-06-05,Tamil Nadu,Electricity,Data Breach,92,6,2023
2023-06-06,Tamil Nadu,Finance,Phishing,29,6,2023
2023-06-07,Uttar Pradesh,Health,Malware,90,6,2023
2023-06-08,West Bengal,Health,DDoS,75,6,2023
2023-06-09,Maharashtra,Electricity,Ransomware,30,6,2023
2023-06-10,West Bengal,Oil,Phishing,61,6,2023
2023-06-11,Uttar Pradesh,Finance,DDoS,96,6,2023
2023-06-12,Uttar Pradesh,Finance,Ransomware,12,6,2023
2023-06-13,West Bengal,Aerospace,Data Breach,99,6,2023
2023-06-14,Maharashtra,Electricity,Data Breach,62,6,2023
2023-06-15,West Bengal,Health,DDoS,90,6,2023
2023-06-16,Maharashtra,Electricity,Data Breach,58,6,2023
2023-06-17,Uttar Pradesh,Oil,Data Breach,65,6,2023
2023-06-18,Gujarat,Finance,DDoS,85,6,2023
2023-06-19,West Bengal,Health,DDoS,89,6,2023
2023-06-20,Maharashtra,Electricity,Ransomware,75,6,2023
2023-06-21,West Bengal,Aerospace,Malware,77,6,2023
2023-06-22,Gujarat,Health,DDoS,11,6,2023
2023-06-23,West Bengal,Finance,Phishing,18,6,2023
2023-06-24,Maharashtra,Health,Data Breach,95,6,2023
2023-06-25,Maharashtra,Electricity,Ransomware,10,6,2023
2023-06-26,Tamil Nadu,Finance,Ransomware,68,6,2023
2023-06-27,Gujarat,Electricity,Ransomware,69,6,2023
2023-06-28,Uttar Pradesh,Finance,Malware,46,6,2023
2023-06-29,Tamil Nadu,Finance,Data Breach,86,6,2023
2023-06-30,Uttar Pradesh,Aerospace,Malware,68,6,2023
2023-07-01,Gujarat,Electricity,Data Breach,28,7,2023
2023-07-02,Tamil Nadu,Electricity,Phishing,3,7,2023
2023-07-03,Tamil Nadu,Health,Phishing,73,7,2023
2023-07-04,Uttar Pradesh,Health,Phishing,2,7,2023
2023-07-05,Uttar Pradesh,Health,Phishing,81,7,2023
2023-07-06,West Bengal,Finance,Data Breach,39,7,2023
2023-07-07,West Bengal,Aerospace,Data Breach,94,7,2023
2023-07-08,Maharashtra,Electricity,Malware,91,7,2023
2023-07-09,Maharashtra,Finance,Data Breach,84,7,2023
2023-07-10,Gujarat,Health,Data Breach,77,7,2023
2023-07-11,Uttar Pradesh,Finance,Phishing,47,7,2023
2023-07-12,Uttar Pradesh,Oil,Ransomware,8,7,2023
2023-07-13,Tamil Nadu,Aerospace,Malware,92,7,2023
2023-07-14,West Bengal,Health,Malware,71,7,2023
2023-07-15,Uttar Pradesh,Electricity,Malware,74,7,2023
2023-07-16,Gujarat,Electricity,Malware,63,7,2023
2023-07-17,Gujarat,Electricity,Malware,64,7,2023
2023-07-18,Gujarat,Electricity,Ransomware,84,7,2023
2023-07-19,Gujarat,Oil,DDoS,28,7,2023
2023-07-20,Uttar Pradesh,Electricity,Data Breach,98,7,2023
2023-07-21,Tamil Nadu,Electricity,Data Breach,85,7,2023
2023-07-22,Maharashtra,Finance,DDoS,70,7,2023
2023-07-23,West Bengal,Oil,DDoS,93,7,2023
2023-07-24,Gujarat,Aerospace,DDoS,74,7,2023
2023-07-25,West Bengal,Aerospace,Ransomware,2,7,2023
2023-07-26,Gujarat,Electricity,Ransomware,68,7,2023
2023-07-27,West Bengal,Aerospace,Data Breach,90,7,2023
2023-07-28,Uttar Pradesh,Oil,Ransomware,87,7,2023
2023-07-29,Gujarat,Electricity,Ransomware,99,7,2023
2023-07-30,Uttar Pradesh,Oil,Ransomware,90,7,2023
2023-07-31,West Bengal,Health,Data Breach,28,7,2023
2023-08-01,Tamil Nadu,Health,Phishing,36,8,2023
2023-08-02,Maharashtra,Oil,Malware,83,8,2023
2023-08-03,Uttar Pradesh,Health,Malware,37,8,2023
2023-08-04,Tamil Nadu,Health,Phishing,72,8,2023
2023-08-05,Uttar Pradesh,Finance,DDoS,80,8,2023
2023-08-06,West Bengal,Finance,DDoS,80,8,2023
2023-08-07,Uttar Pradesh,Health,Phishing,83,8,2023
2023-08-08,Tamil Nadu,Aerospace,Phishing,18,8,2023
2023-08-09,West Bengal,Health,DDoS,29,8,2023
2023-08-10,Uttar Pradesh,Aerospace,Malware,59,8,2023
2023-08-11,Gujarat,Oil,Malware,61,8,2023
2023-08-12,Uttar Pradesh,Health,Data Breach,32,8,2023
2023-08-13,Gujarat,Aerospace,Phishing,6,8,2023
2023-08-14,Maharashtra,Finance,Ransomware,95,8,2023
2023-08-15,Gujarat,Finance,DDoS,26,8,2023
2023-08-16,Tamil Nadu,Aerospace,Phishing,52,8,2023
2023-08-17,Tamil Nadu,Aerospace,Phishing,12,8,2023
2023-08-18,West Bengal,Aerospace,Phishing,72,8,2023
2023-08-19,Tamil Nadu,Aerospace,Phishing,26,8,2023
2023-08-20,Tamil Nadu,Health,Malware,40,8,2023
2023-08-21,Tamil Nadu,Oil,DDoS,66,8,2023
2023-08-22,Gujarat,Electricity,Phishing,4,8,2023
2023-08-23,Tamil Nadu,Electricity,Phishing,63,8,2023
2023-08-24,Uttar Pradesh,Aerospace,Phishing,35,8,2023
2023-08-25,Maharashtra,Finance,DDoS,9,8,2023
2023-08-26,Uttar Pradesh,Oil,Malware,21,8,2023
2023-08-27,Maharashtra,Electricity,Phishing,20,8,2023
2023-08-28,Tamil Nadu,Aerospace,Phishing,21,8,2023
2023-08-29,Tamil Nadu,Oil,DDoS,86,8,2023
2023-08-30,West Bengal,Aerospace,Ransomware,2,8,2023
2023-08-31,Tamil Nadu,Electricity,Ransomware,40,8,2023
2023-09-01,Tamil Nadu,Finance,Data Breach,31,9,2023
2023-09-02,Tamil Nadu,Health,Malware,25,9,2023
2023-09-03,Maharashtra,Aerospace,Phishing,48,9,2023
2023-09-04,Gujarat,Health,Malware,47,9,2023
2023-09-05,Uttar Pradesh,Aerospace,Malware,26,9,2023
2023-09-06,Tamil Nadu,Health,DDoS,71,9,2023
2023-09-07,Gujarat,Electricity,Ransomware,71,9,2023
2023-09-08,Uttar Pradesh,Health,Ransomware,94,9,2023
2023-09-09,Maharashtra,Electricity,Ransomware,28,9,2023
2023-09-10,West Bengal,Aerospace,DDoS,73,9,2023
2023-09-11,Tamil Nadu,Finance,Phishing,41,9,2023
2023-09-12,Tamil Nadu,Oil,Phishing,16,9,2023
2023-09-13,Tamil Nadu,Finance,Phishing,51,9,2023
2023-09-14,Tamil Nadu,Aerospace,Phishing,81,9,2023
2023-09-15,Maharashtra,Finance,Malware,36,9,2023
2023-09-16,Tamil Nadu,Aerospace,Ransomware,21,9,2023
2023-09-17,Tamil Nadu,Aerospace,DDoS,96,9,2023
2023-09-18,Tamil Nadu,Oil,Malware,19,9,2023
2023-09-19,Tamil Nadu,Oil,Phishing,75,9,2023
2023-09-20,Tamil Nadu,Electricity,Malware,61,9,2023
2023-09-21,Tamil Nadu,Oil,DDoS,83,9,2023
2023-09-22,West Bengal,Health,Ransomware,8,9,2023
2023-09-23,Uttar Pradesh,Electricity,Phishing,44,9,2023
2023-09-24,Gujarat,Aerospace,DDoS,63,9,2023
2023-09-25,Maharashtra,Aerospace,DDoS,34,9,2023
2023-09-26,Gujarat,Health,Ransomware,82,9,2023
2023-09-27,Gujarat,Aerospace,Phishing,42,9,2023
2023-09-28,Tamil Nadu,Finance,Malware,88,9,2023
2023-09-29,West Bengal,Oil,Data Breach,41,9,2023
2023-09-30,Gujarat,Finance,Malware,39,9,2023
2023-10-01,Maharashtra,Health,Data Breach,56,10,2023
2023-10-02,Uttar Pradesh,Electricity,DDoS,10,10,2023
2023-10-03,Uttar Pradesh,Finance,Malware,84,10,2023
2023-10-04,Tamil Nadu,Oil,Phishing,80,10,2023
2023-10-05,Uttar Pradesh,Aerospace,Malware,63,10,2023
2023-10-06,West Bengal,Aerospace,Phishing,8,10,2023
2023-10-07,West Bengal,Oil,DDoS,27,10,2023
2023-10-08,Uttar Pradesh,Aerospace,Malware,69,10,2023
2023-10-09,Gujarat,Health,DDoS,16,10,2023
2023-10-10,West Bengal,Electricity,Phishing,55,10,2023
2023-10-11,Maharashtra,Health,Ransomware,79,10,2023
2023-10-12,Uttar Pradesh,Aerospace,Malware,23,10,2023
2023-10-13,Tamil Nadu,Aerospace,Malware,57,10,2023
2023-10-14,West Bengal,Health,Data Breach,64,10,2023
2023-10-15,Gujarat,Oil,Ransomware,64,10,2023
2023-10-16,Uttar Pradesh,Aerospace,Data Breach,6,10,2023
2023-10-17,Uttar Pradesh,Electricity,DDoS,31,10,2023
2023-10-18,Maharashtra,Oil,DDoS,74,10,2023
2023-10-19,Tamil Nadu,Aerospace,Ransomware,88,10,2023
2023-10-20,Uttar Pradesh,Aerospace,Malware,57,10,2023
2023-10-21,Uttar Pradesh,Finance,Data Breach,34,10,2023
2023-10-22,Gujarat,Health,DDoS,89,10,2023
2023-10-23,Uttar Pradesh,Oil,Malware,96,10,2023
2023-10-24,Maharashtra,Health,Data Breach,47,10,2023
2023-10-25,Tamil Nadu,Health,DDoS,26,10,2023
2023-10-26,Tamil Nadu,Finance,Malware,72,10,2023
2023-10-27,Maharashtra,Finance,Ransomware,84,10,2023
2023-10-28,Tamil Nadu,Finance,Phishing,82,10,2023
2023-10-29,Uttar Pradesh,Aerospace,Malware,44,10,2023
2023-10-30,Tamil Nadu,Oil,Phishing,85,10,2023
2023-10-31,Uttar Pradesh,Finance,Malware,59,10,2023
2023-11-01,Uttar Pradesh,Electricity,DDoS,52,11,2023
2023-11-02,West Bengal,Health,Data Breach,38,11,2023
2023-11-03,Gujarat,Finance,Malware,8,11,2023
2023-11-04,West Bengal,Electricity,Ransomware,86,11,2023
2023-11-05,West Bengal,Oil,Phishing,95,11,2023
2023-11-06,Gujarat,Health,Malware,21,11,2023
2023-11-07,Uttar Pradesh,Finance,Data Breach,4,11,2023
2023-11-08,Maharashtra,Health,Phishing,76,11,2023
2023-11-09,Uttar Pradesh,Aerospace,Data Breach,40,11,2023
2023-11-10,Uttar Pradesh,Oil,DDoS,83,11,2023
2023-11-11,West Bengal,Oil,Ransomware,91,11,2023
2023-11-12,Tamil Nadu,Finance,DDoS,34,11,2023
2023-11-13,Gujarat,Electricity,DDoS,76,11,2023
2023-11-14,Gujarat,Health,DDoS,60,11,2023
2023-11-15,Uttar Pradesh,Health,Phishing,36,11,2023
2023-11-16,Tamil Nadu,Oil,Ransomware,86,11,2023
2023-11-17,Maharashtra,Health,Ransomware,17,11,2023
2023-11-18,Maharashtra,Oil,Ransomware,55,11,2023
2023-11-19,West Bengal,Electricity,Phishing,44,11,2023
2023-11-20,Maharashtra,Aerospace,DDoS,34,11,2023
2023-11-21,Uttar Pradesh,Electricity,Data Breach,23,11,2023
2023-11-22,West Bengal,Health,Data Breach,40,11,2023
2023-11-23,Gujarat,Oil,Data Breach,2,11,2023
2023-11-24,Maharashtra,Oil,Data Breach,37,11,2023
2023-11-25,Tamil Nadu,Electricity,Phishing,38,11,2023
2023-11-26,West Bengal,Finance,Ransomware,65,11,2023
2023-11-27,Uttar Pradesh,Oil,Malware,93,11,2023
2023-11-28,West Bengal,Electricity,Malware,64,11,2023
2023-11-29,West Bengal,Finance,Malware,35,11,2023
2023-11-30,Tamil Nadu,Finance,Phishing,28,11,2023
2023-12-01,West Bengal,Aerospace,Phishing,72,12,2023
2023-12-02,Tamil Nadu,Finance,Ransomware,44,12,2023
2023-12-03,West Bengal,Finance,Data Breach,55,12,2023
2023-12-04,Tamil Nadu,Oil,DDoS,49,12,2023
2023-12-05,Tamil Nadu,Aerospace,Phishing,62,12,2023
2023-12-06,Uttar Pradesh,Finance,Ransomware,18,12,2023
2023-12-07,West Bengal,Oil,DDoS,59,12,2023
2023-12-08,Gujarat,Health,Data Breach,66,12,2023
2023-12-09,Gujarat,Health,Ransomware,57,12,2023
2023-12-10,Maharashtra,Finance,Malware,64,12,2023
2023-12-11,Tamil Nadu,Oil,Malware,32,12,2023
2023-12-12,Uttar Pradesh,Health,Malware,83,12,2023
2023-12-13,Maharashtra,Health,DDoS,31,12,2023
2023-12-14,Gujarat,Aerospace,Phishing,59,12,2023
2023-12-15,West Bengal,Oil,Phishing,88,12,2023
2023-12-16,Tamil Nadu,Oil,Malware,46,12,2023
2023-12-17,Tamil Nadu,Health,DDoS,49,12,2023
2023-12-18,Tamil Nadu,Health,DDoS,40,12,2023
2023-12-19,Gujarat,Oil,Ransomware,84,12,2023
2023-12-20,Tamil Nadu,Electricity,Ransomware,63,12,2023
2023-12-21,Tamil Nadu,Oil,Phishing,33,12,2023
2023-12-22,Gujarat,Electricity,DDoS,50,12,2023
2023-12-23,Tamil Nadu,Finance,Phishing,60,12,2023
2023-12-24,Tamil Nadu,Electricity,Data Breach,41,12,2023
2023-12-25,West Bengal,Finance,Data Breach,65,12,2023
2023-12-26,Tamil Nadu,Finance,Malware,99,12,2023
2023-12-27,Uttar Pradesh,Electricity,Phishing,42,12,2023
2023-12-28,Tamil Nadu,Electricity,Malware,66,12,2023
2023-12-29,Tamil Nadu,Electricity,Phishing,7,12,2023
2023-12-30,Maharashtra,Finance,Ransomware,54,12,2023
2023-12-31,Maharashtra,Aerospace,Ransomware,53,12,2023
2024-01-01,Gujarat,Finance,DDoS,94,1,2024
2024-01-02,Maharashtra,Finance,DDoS,92,1,2024
2024-01-03,Tamil Nadu,Health,Malware,59,1,2024
2024-01-04,Uttar Pradesh,Oil,Data Breach,40,1,2024
2024-01-05,Tamil Nadu,Aerospace,Data Breach,68,1,2024
2024-01-06,Gujarat,Oil,Malware,31,1,2024
2024-01-07,Uttar Pradesh,Oil,Ransomware,29,1,2024
2024-01-08,Maharashtra,Electricity,Data Breach,98,1,2024
2024-01-09,Tamil Nadu,Aerospace,Phishing,13,1,2024
2024-01-10,Tamil Nadu,Oil,Malware,28,1,2024
2024-01-11,Gujarat,Finance,Ransomware,95,1,2024
2024-01-12,Gujarat,Oil,Data Breach,97,1,2024
2024-01-13,Tamil Nadu,Health,Malware,25,1,2024
2024-01-14,Gujarat,Oil,Malware,4,1,2024
2024-01-15,Maharashtra,Finance,Data Breach,87,1,2024
2024-01-16,Maharashtra,Electricity,Malware,54,1,2024
2024-01-17,West Bengal,Health,Phishing,54,1,2024
2024-01-18,Tamil Nadu,Health,Ransomware,47,1,2024
2024-01-19,Gujarat,Oil,Ransomware,60,1,2024
2024-01-20,West Bengal,Oil,DDoS,50,1,2024
2024-01-21,Uttar Pradesh,Electricity,Data Breach,76,1,2024
2024-01-22,Maharashtra,Aerospace,Phishing,81,1,2024
2024-01-23,West Bengal,Health,Data Breach,20,1,2024
2024-01-24,Tamil Nadu,Aerospace,Phishing,99,1,2024
2024-01-25,Gujarat,Health,Ransomware,4,1,2024
2024-01-26,Uttar Pradesh,Health,Ransomware,71,1,2024
2024-01-27,Gujarat,Finance,Malware,71,1,2024
2024-01-28,Uttar Pradesh,Finance,Ransomware,82,1,2024
2024-01-29,Uttar Pradesh,Aerospace,Data Breach,68,1,2024
2024-01-30,West Bengal,Electricity,Phishing,94,1,2024
2024-01-31,West Bengal,Aerospace,Phishing,72,1,2024
2024-02-01,Uttar Pradesh,Electricity,Ransomware,24,2,2024
2024-02-02,Tamil Nadu,Oil,Malware,9,2,2024
2024-02-03,Gujarat,Oil,Phishing,19,2,2024
2024-02-04,West Bengal,Electricity,Data Breach,12,2,2024
2024-02-05,Uttar Pradesh,Electricity,Data Breach,69,2,2024
2024-02-06,Maharashtra,Finance,DDoS,77,2,2024
2024-02-07,Maharashtra,Finance,Data Breach,8,2,2024
2024-02-08,Tamil Nadu,Finance,Data Breach,95,2,2024
2024-02-09,Uttar Pradesh,Health,Data Breach,68,2,2024
2024-02-10,Uttar Pradesh,Aerospace,Data Breach,63,2,2024
2024-02-11,Maharashtra,Health,Data Breach,64,2,2024
2024-02-12,Maharashtra,Health,Malware,32,2,2024
2024-02-13,Tamil Nadu,Health,Phishing,74,2,2024
2024-02-14,West Bengal,Oil,Malware,8,2,2024
2024-02-15,Gujarat,Health,Data Breach,13,2,2024
2024-02-16,Gujarat,Aerospace,Data Breach,75,2,2024
2024-02-17,Tamil Nadu,Finance,Ransomware,67,2,2024
2024-02-18,Gujarat,Aerospace,Malware,61,2,2024
2024-02-19,Gujarat,Aerospace,DDoS,52,2,2024
2024-02-20,Gujarat,Health,Ransomware,88,2,2024
2024-02-21,Maharashtra,Finance,Data Breach,8,2,2024
2024-02-22,Maharashtra,Health,Malware,25,2,2024
2024-02-23,Gujarat,Oil,Ransomware,95,2,2024
2024-02-24,West Bengal,Finance,Phishing,6,2,2024
2024-02-25,Tamil Nadu,Aerospace,DDoS,88,2,2024
2024-02-26,Gujarat,Electricity,Malware,93,2,2024
2024-02-27,Tamil Nadu,Finance,DDoS,54,2,2024
2024-02-28,Tamil Nadu,Aerospace,Malware,13,2,2024
2024-02-29,Maharashtra,Electricity,DDoS,39,2,2024
2024-03-01,West Bengal,Aerospace,Ransomware,38,3,2024
2024-03-02,West Bengal,Electricity,Ransomware,24,3,2024
2024-03-03,Uttar Pradesh,Electricity,Ransomware,27,3,2024
2024-03-04,Uttar Pradesh,Oil,Ransomware,74,3,2024
2024-03-05,Gujarat,Finance,Data Breach,99,3,2024
2024-03-06,Maharashtra,Finance,Ransomware,82,3,2024
2024-03-07,Tamil Nadu,Health,Data Breach,79,3,2024
2024-03-08,Maharashtra,Health,Ransomware,8,3,2024
2024-03-09,Tamil Nadu,Health,DDoS,39,3,2024
2024-03-10,Maharashtra,Electricity,Malware,67,3,2024
2024-03-11,Gujarat,Health,Malware,55,3,2024
2024-03-12,Tamil Nadu,Aerospace,DDoS,82,3,2024
2024-03-13,Maharashtra,Aerospace,Phishing,51,3,2024
2024-03-14,Tamil Nadu,Oil,DDoS,17,3,2024
2024-03-15,West Bengal,Oil,Phishing,34,3,2024
2024-03-16,West Bengal,Oil,DDoS,77,3,2024
2024-03-17,Gujarat,Aerospace,Data Breach,90,3,2024
2024-03-18,Maharashtra,Health,DDoS,62,3,2024
2024-03-19,Uttar Pradesh,Oil,DDoS,63,3,2024
2024-03-20,Uttar Pradesh,Health,DDoS,48,3,2024
2024-03-21,Gujarat,Health,Malware,75,3,2024
2024-03-22,Uttar Pradesh,Oil,DDoS,35,3,2024
